Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres)
melbourne_botanical_gardens,2014,1,1,0.0
melbourne_botanical_gardens,2014,1,2,6.6
melbourne_botanical_gardens,2014,1,3,0.0
melbourne_botanical_gardens,2014,1,4,0.2
melbourne_botanical_gardens,2014,1,5,0.0
melbourne_botanical_gardens,2014,1,6,1.0
melbourne_botanical_gardens,2014,1,7,0.0
melbourne_botanical_gardens,2014,1,8,0.0
melbourne_botanical_gardens,2014,1,9,0.0
melbourne_botanical_gardens,2014,1,10,0.0
melbourne_botanical_gardens,2014,1,11,0.0
melbourne_botanical_gardens,2014,1,12,0.0
melbourne_botanical_gardens,2014,1,13,0.0
melbourne_botanical_gardens,2014,1,14,0.0
melbourne_botanical_gardens,2014,1,15,0.2
melbourne_botanical_gardens,2014,1,16,0.0
melbourne_botanical_gardens,2014,1,17,0.2
melbourne_botanical_gardens,2014,1,18,0.2
melbourne_botanical_gardens,2014,1,19,0.0
melbourne_botanical_gardens,2014,1,20,0.0
melbourne_botanical_gardens,2014,1,21,0.0
melbourne_botanical_gardens,2014,1,22,0.0
melbourne_botanical_gardens,2014,1,23,0.0
melbourne_botanical_gardens,2014,1,24,0.8
melbourne_botanical_gardens,2014,1,25,5.6
melbourne_botanical_gardens,2014,1,26,0.0
melbourne_botanical_gardens,2014,1,27,0.0
melbourne_botanical_gardens,2014,1,28,0.0
melbourne_botanical_gardens,2014,1,29,0.0
melbourne_botanical_gardens,2014,1,30,0.0
melbourne_botanical_gardens,2014,1,31,0.0
melbourne_botanical_gardens,2014,2,1,0.0
melbourne_botanical_gardens,2014,2,2,0.0
melbourne_botanical_gardens,2014,2,3,0.0
melbourne_botanical_gardens,2014,2,4,0.4
melbourne_botanical_gardens,2014,2,5,0.0
melbourne_botanical_gardens,2014,2,6,0.0
melbourne_botanical_gardens,2014,2,7,0.0
melbourne_botanical_gardens,2014,2,8,0.0
melbourne_botanical_gardens,2014,2,9,0.0
melbourne_botanical_gardens,2014,2,10,0.0
melbourne_botanical_gardens,2014,2,11,0.0
melbourne_botanical_gardens,2014,2,12,0.0
melbourne_botanical_gardens,2014,2,13,0.0
melbourne_botanical_gardens,2014,2,14,0.0
melbourne_botanical_gardens,2014,2,15,0.0
melbourne_botanical_gardens,2014,2,16,4.2
melbourne_botanical_gardens,2014,2,17,4.8
melbourne_botanical_gardens,2014,2,18,0.0
melbourne_botanical_gardens,2014,2,19,0.0
melbourne_botanical_gardens,2014,2,20,12.6
melbourne_botanical_gardens,2014,2,21,0.0
melbourne_botanical_gardens,2014,2,22,1.2
melbourne_botanical_gardens,2014,2,23,0.0
melbourne_botanical_gardens,2014,2,24,0.0
melbourne_botanical_gardens,2014,2,25,0.0
melbourne_botanical_gardens,2014,2,26,0.0
melbourne_botanical_gardens,2014,2,27,0.8
melbourne_botanical_gardens,2014,2,28,0.0
melbourne_botanical_gardens,2014,3,1,0.0
melbourne_botanical_gardens,2014,3,2,0.0
melbourne_botanical_gardens,2014,3,3,0.0
melbourne_botanical_gardens,2014,3,4,0.0
melbourne_botanical_gardens,2014,3,5,0.0
melbourne_botanical_gardens,2014,3,6,0.0
melbourne_botanical_gardens,2014,3,7,0.0
melbourne_botanical_gardens,2014,3,8,0.0
melbourne_botanical_gardens,2014,3,9,0.0
melbourne_botanical_gardens,2014,3,10,0.0
melbourne_botanical_gardens,2014,3,11,0.0
melbourne_botanical_gardens,2014,3,12,2.0
melbourne_botanical_gardens,2014,3,13,0.0
melbourne_botanical_gardens,2014,3,14,0.0
melbourne_botanical_gardens,2014,3,15,0.0
melbourne_botanical_gardens,2014,3,16,7.2
melbourne_botanical_gardens,2014,3,17,0.0
melbourne_botanical_gardens,2014,3,18,0.0
melbourne_botanical_gardens,2014,3,19,0.0
melbourne_botanical_gardens,2014,3,20,0.0
